raw_text,model_input,text,transformer_text,label,target,userLang,language_name,app_name,review_date
Gett van for no reason 😂😂😂,lang_en Gett van for no reason 😂😂😂,lang_en gett van for no reason 😂😂😂,Gett van for no reason 😂😂😂,negative,0,EN,English,Telegram,2023-09-19 15:05:31
better' than WhatsApp,lang_en better' than WhatsApp,lang_en better' than whatsapp,better' than WhatsApp,positive,2,EN,English,Telegram,2023-09-19 14:59:30
That was good app for me,lang_en That was good app for me,lang_en that was good app for me,That was good app for me,positive,2,EN,English,Telegram,2023-09-19 14:55:06
Love the app,lang_en Love the app,lang_en love the app,Love the app,positive,2,EN,English,Telegram,2023-09-19 14:50:18
🕳️🕳️🕳️,lang_en 🕳️🕳️🕳️,lang_en 🕳️🕳️🕳️,🕳️🕳️🕳️,negative,0,EN,English,Telegram,2023-09-19 14:48:20
Good app,lang_en Good app,lang_en good app,Good app,positive,2,EN,English,Telegram,2023-09-19 14:46:54
Nice app,lang_en Nice app,lang_en nice app,Nice app,positive,2,EN,English,Telegram,2023-09-19 14:43:18
telegram mare call par nai ban rhi,lang_en telegram mare call par nai ban rhi,lang_en telegram mare call par nai ban rhi,telegram mare call par nai ban rhi,positive,2,EN,English,Telegram,2023-09-19 14:42:49
now how to mute stories?,lang_en now how to mute stories?,lang_en now how to mute stories?,now how to mute stories?,neutral,1,EN,English,Telegram,2023-09-19 14:37:57
Good parfom sab 1,lang_en Good parfom sab 1,lang_en good parfom sab 1,Good parfom sab 1,positive,2,EN,English,Telegram,2023-09-19 14:37:46
Nice,lang_en Nice,lang_en nice,Nice,positive,2,EN,English,Telegram,2023-09-19 14:36:51
Nise,lang_en Nise,lang_en nise,Nise,positive,2,EN,English,Telegram,2023-09-19 14:36:06
VERY GOOD,lang_en VERY GOOD,lang_en very good,VERY GOOD,positive,2,EN,English,Telegram,2023-09-19 14:34:02
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 14:29:45
When I enter my phone number it show I am banned I email support telegram but I got no answer😭,lang_en When I enter my phone number it show I am banned I email support telegram but I got no answer😭,lang_en when i enter my phone number it show i am banned i email support telegram but i got no answer😭,When I enter my phone number it show I am banned I email support telegram but I got no answer😭,negative,0,EN,English,Telegram,2023-09-19 14:27:15
"Barrs users login for no tangible reason, null response on login issues emailing, nice UX/UI, but functions,..void/minimal will find other large file download/communication options.","lang_en Barrs users login for no tangible reason, null response on login issues emailing, nice UX/UI, but functions,..void/minimal will find other large file download/communication options.","lang_en barrs users login for no tangible reason, null response on login issues emailing, nice ux/ui, but functions,..void/minimal will find other large file download/communication options.","Barrs users login for no tangible reason, null response on login issues emailing, nice UX/UI, but functions,..void/minimal will find other large file download/communication options.",negative,0,EN,English,Telegram,2023-09-19 14:25:13
Wonderful,lang_en Wonderful,lang_en wonderful,Wonderful,positive,2,EN,English,Telegram,2023-09-19 14:22:00
nice app,lang_en nice app,lang_en nice app,nice app,positive,2,EN,English,Telegram,2023-09-19 14:17:00
"When I want to upload a pic or video or edit a pic, the app crashes and closes. I get an error of java.lang.OutofMemoryError. It happened since a few weeks. I use the same phone and never had this problem before. My app is up to date. Telegram X doesn't give this error but it's limited in its capabilities. I tried cleaning cash, data etc., removing the app and reinstalling, installing the app from the Telegram website and none of it works.","lang_en When I want to upload a pic or video or edit a pic, the app crashes and closes. I get an error of java.lang.OutofMemoryError. It happened since a few weeks. I use the same phone and never had this problem before. My app is up to date. Telegram X doesn't give this error but it's limited in its capabilities. I tried cleaning cash, data etc., removing the app and reinstalling, installing the app from the Telegram website and none of it works.","lang_en when i want to upload a pic or video or edit a pic, the app crashes and closes. i get an error of java.lang.outofmemoryerror. it happened since a few weeks. i use the same phone and never had this problem before. my app is up to date. telegram x doesn't give this error but it's limited in its capabilities. i tried cleaning cash, data etc., removing the app and reinstalling, installing the app from the telegram website and none of it works.","When I want to upload a pic or video or edit a pic, the app crashes and closes. I get an error of java.lang.OutofMemoryError. It happened since a few weeks. I use the same phone and never had this problem before. My app is up to date. Telegram X doesn't give this error but it's limited in its capabilities. I tried cleaning cash, data etc., removing the app and reinstalling, installing the app from the Telegram website and none of it works.",negative,0,EN,English,Telegram,2023-09-19 14:14:26
Not for iran stori !!!,lang_en Not for iran stori !!!,lang_en not for iran stori !!!,Not for iran stori !!!,negative,0,EN,English,Telegram,2023-09-19 14:12:45
ALL TIME BEST❤️,lang_en ALL TIME BEST❤️,lang_en all time best❤️,ALL TIME BEST❤️,positive,2,EN,English,Telegram,2023-09-19 14:12:37
Very Good,lang_en Very Good,lang_en very good,Very Good,positive,2,EN,English,Telegram,2023-09-19 14:10:08
I Like This,lang_en I Like This,lang_en i like this,I Like This,positive,2,EN,English,Telegram,2023-09-19 14:09:04
Nice,lang_en Nice,lang_en nice,Nice,positive,2,EN,English,Telegram,2023-09-19 14:06:45
Very good,lang_en Very good,lang_en very good,Very good,positive,2,EN,English,Telegram,2023-09-19 14:03:44
"best app, even if they just destroyed the search","lang_en best app, even if they just destroyed the search","lang_en best app, even if they just destroyed the search","best app, even if they just destroyed the search",positive,2,EN,English,Telegram,2023-09-19 13:59:34
Optional,lang_en Optional,lang_en optional,Optional,positive,2,EN,English,Telegram,2023-09-19 13:59:18
VERY GOOD,lang_en VERY GOOD,lang_en very good,VERY GOOD,positive,2,EN,English,Telegram,2023-09-19 13:58:47
very some people,lang_en very some people,lang_en very some people,very some people,positive,2,EN,English,Telegram,2023-09-19 13:56:42
Can't login,lang_en Can't login,lang_en can't login,Can't login,negative,0,EN,English,Telegram,2023-09-19 13:56:35
Ubhub,lang_en Ubhub,lang_en ubhub,Ubhub,positive,2,EN,English,Telegram,2023-09-19 13:55:12
W u r my New Blog hi nhi ehai,lang_en W u r my New Blog hi nhi ehai,lang_en w u r my new blog hi nhi ehai,W u r my New Blog hi nhi ehai,neutral,1,EN,English,Telegram,2023-09-19 13:50:25
"Tidak bisa masuk,saat memasukkan nomor telepon pasti selalu unable to connect","lang_en Tidak bisa masuk,saat memasukkan nomor telepon pasti selalu unable to connect","lang_en tidak bisa masuk,saat memasukkan nomor telepon pasti selalu unable to connect","Tidak bisa masuk,saat memasukkan nomor telepon pasti selalu unable to connect",negative,0,EN,English,Telegram,2023-09-19 13:49:26
Nice app,lang_en Nice app,lang_en nice app,Nice app,positive,2,EN,English,Telegram,2023-09-19 13:48:55
It has all that you need to get surfing🔨🔨🔨,lang_en It has all that you need to get surfing🔨🔨🔨,lang_en it has all that you need to get surfing🔨🔨🔨,It has all that you need to get surfing🔨🔨🔨,positive,2,EN,English,Telegram,2023-09-19 13:48:46
Good for Study,lang_en Good for Study,lang_en good for study,Good for Study,positive,2,EN,English,Telegram,2023-09-19 13:38:38
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 13:32:11
Same complaint with Bonya Malek below. Everything seems to be loading until I uninstall and reinstall and then it starts again. Apart from the desktop version on my pc,lang_en Same complaint with Bonya Malek below. Everything seems to be loading until I uninstall and reinstall and then it starts again. Apart from the desktop version on my pc,lang_en same complaint with bonya malek below. everything seems to be loading until i uninstall and reinstall and then it starts again. apart from the desktop version on my pc,Same complaint with Bonya Malek below. Everything seems to be loading until I uninstall and reinstall and then it starts again. Apart from the desktop version on my pc,negative,0,EN,English,Telegram,2023-09-19 13:31:53
Worst app ever. Most preferred choice for scammers. Extremely poor safety features.,lang_en Worst app ever. Most preferred choice for scammers. Extremely poor safety features.,lang_en worst app ever. most preferred choice for scammers. extremely poor safety features.,Worst app ever. Most preferred choice for scammers. Extremely poor safety features.,negative,0,EN,English,Telegram,2023-09-19 13:31:42
THIS APP IS ALL APPS TO GOOD,lang_en THIS APP IS ALL APPS TO GOOD,lang_en this app is all apps to good,THIS APP IS ALL APPS TO GOOD,positive,2,EN,English,Telegram,2023-09-19 13:29:33
Good application amazing to use,lang_en Good application amazing to use,lang_en good application amazing to use,Good application amazing to use,neutral,1,EN,English,Telegram,2023-09-19 13:27:38
